Caso;s1;s2;Tiempo (microsegundos);Respuesta
19;wil;xmn;4;6
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;3;4
20;qic;xoq;8;4
20;qic;xoq;4;4
20;qic;xoq;3;4
21;zgcn;upuu;22;8
21;zgcn;upuu;22;8
21;zgcn;upuu;22;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
21;zgcn;upuu;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
22;vcmj;ltqx;21;8
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
23;iryt;egrq;15;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
24;ogfm;tkqg;19;6
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;14;4
25;kqsb;qbnw;17;4
25;kqsb;qbnw;15;4
25;kqsb;qbnw;38;4
26;cwoj;trah;27;8
26;cwoj;trah;23;8
26;cwoj;trah;33;8
26;cwoj;trah;23;8
26;cwoj;trah;22;8
26;cwoj;trah;22;8
26;cwoj;trah;22;8
26;cwoj;trah;22;8
26;cwoj;trah;22;8
26;cwoj;trah;23;8
27;tfef;yijr;44;8
27;tfef;yijr;28;8
27;tfef;yijr;22;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
27;tfef;yijr;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
28;klhi;qmrg;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
29;veej;ttog;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
30;eqjf;utci;21;8
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;121;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
31;kmbmn;tjgoo;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
32;bqmxq;jsuuw;115;10
33;bwawi;odbqy;100;8
33;bwawi;odbqy;99;8
33;bwawi;odbqy;107;8
33;bwawi;odbqy;121;8
33;bwawi;odbqy;99;8
33;bwawi;odbqy;100;8
33;bwawi;odbqy;99;8
33;bwawi;odbqy;99;8
33;bwawi;odbqy;99;8
33;bwawi;odbqy;99;8
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;126;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
34;twaqs;gbyrm;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
35;clmdj;ifqzr;115;10
36;phdct;xdbek;83;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
36;phdct;xdbek;82;8
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
37;uofkm;omcbz;84;6
